Name,Name,NumerKomisji,TeamId,Address
gm. Bialobrzegi,bialobrzeski,1,32,"Publiczna Szko\u0142a Podstawowa Nr 1 im. Komisji Edukacji Narodowej w Bia\u0142obrzegach, ul. Rzemie\u015blnicza 21/31 Bia\u0142obrzegi"
gm. Promna,bialobrzeski,1,32,"Urz\u0105d Gminy w Promnie,  5 Promna-Kolonia"
gm. Promna,bialobrzeski,2,32,"Remiza OSP,  23 Olszamy"
gm. Promna,bialobrzeski,3,32,"\u015awietlica wiejska,  4A Lis\u00f3w"
gm. Promna,bialobrzeski,4,32,"Szko\u0142a Podstawowa w Przybyszewie, ul. W\u0142adys\u0142awa Ros\u0142o\u0144ca 5 Przybyszew"
gm. Ciechanów,ciechanowski,1,23,"Urz\u0105d Gminy Ciechan\u00f3w, ul. Fabryczna 8 Ciechan\u00f3w"
gm. Maciejowice,garwolinski,1,14,"Publiczna Szko\u0142a Podstawowa w Maciejowicach (\u015bwietlica), ul. Tadeusza Ko\u015bciuszki 19 Maciejowice"
gm. Maciejowice,garwolinski,2,14,"Publiczna Szko\u0142a Podstawowa w Maciejowicach (sala gimnastyczna), ul. Tadeusza Ko\u015bciuszki 19 Maciejowice"
gm. Maciejowice,garwolinski,5,14,"\u015awietlica wiejska w Domaszewie,  77 Domaszew"
gm. Pilawa,garwolinski,6,14,"Dom Stra\u017caka Lip\u00f3wki, G\u0142\u00f3wna 71 Lip\u00f3wki"
gm. Wilga,garwolinski,5,14,"Urz\u0105d Gminy w Wildze, ul. Warszawska 38 Wilga"
gm. Gostynin,gostyninski,2,19,"Szko\u0142a Podstawowa w Zwoleniu,  35 Zwole\u0144"
gm. Gostynin,gostyninski,11,19,"Remiza OSP w Gorzewie,  44a Gorzewo"
gm. Grodzisk Mazowiecki,grodziski,1,39,"Szko\u0142a Podstawowa Nr 4, ul. Zielony Rynek 2 Grodzisk Mazowiecki"
gm. Grodzisk Mazowiecki,grodziski,2,39,"Szko\u0142a Podstawowa Nr 4, ul. Zielony Rynek 2 Grodzisk Mazowiecki, \u0141\u0105ki"
